O,H,L,C
15875.0,15888.0,15799.0,15800.0
15825.93,15879.0,15812.94,15847.73
15847.72,15847.73,15700.0,15700.0
15700.0,15725.0,15614.0,15625.62
15625.63,15756.62,15625.63,15756.61
15756.62,15757.0,15621.23,15757.0
15757.0,15798.98,15720.0,15779.87
15779.88,15779.88,15702.01,15702.39
15715.54,15748.58,15607.0,15685.01
15685.01,15723.1,15600.0,15600.0
15600.0,15671.0,15525.01,15605.01
15605.01,15659.12,15601.0,15618.99
15654.98,15654.98,15502.14,15603.22
15603.22,15655.68,15550.0,15655.68
15655.68,15697.5,15550.0,15550.02
15550.0,15550.01,15400.0,15425.0
15424.99,15494.09,15408.01,15408.01
15408.01,15408.01,14800.0,15080.0
15080.0,15190.0,14903.63,15088.0
15088.0,15363.51,15011.09,15224.39
15224.39,15249.0,15015.97,15049.0
15049.0,15171.0,14955.9,15100.02
15160.0,15169.3,14900.01,14951.03
14902.55,14951.94,14800.0,14866.88
14866.88,14956.0,14850.0,14862.57
14862.57,15100.0,14810.01,15025.01
15025.01,15088.0,14950.0,14959.12
14959.12,14997.94,14853.0,14916.01
14916.01,15100.0,14853.0,15100.0
15055.67,15273.0,15040.0,15219.99
15219.99,15239.99,15156.43,15187.36
15187.36,15187.36,15073.42,15149.01
15149.01,15189.99,15096.21,15189.98
15189.98,15190.0,15096.21,15129.99
15150.0,15150.0,14949.84,15041.63
15010.0,15037.62,14867.6,14867.61
14867.6,14890.25,14661.55,14890.25
14890.25,16000.0,14890.24,16000.0
16000.0,16300.0,15000.05,15260.0
15250.04,15749.98,15220.0,15400.68
15400.68,15700.0,15400.68,15584.97
15584.91,15640.1,15400.0,15535.69
15535.69,15695.0,15535.0,15695.0
15695.0,15900.0,15600.0,15675.0
15674.66,15709.0,15535.0,15535.0
15535.0,15670.0,15402.01,15587.51
15587.5,15637.7,15550.0,15620.01
15620.01,15620.01,15262.57,15269.48
15262.57,15386.21,15016.0,15290.01
15290.01,15387.0,15200.0,15295.08
15295.02,15403.84,15209.55,15350.87
15354.0,15576.8,15350.87,15548.78
15515.31,15550.0,15412.64,15462.01
15462.01,15508.71,15450.0,15496.87
15496.87,15620.0,15411.15,15457.25
15457.25,15457.25,15289.96,15410.0
15418.96,15420.0,15375.0,15419.99
15419.99,15485.0,15400.0,15430.01
15430.01,15548.99,15430.01,15525.0
15524.99,15625.0,15524.99,15625.0
15611.07,15620.0,15549.0,15570.01
15570.0,15620.0,15570.0,15620.0
15620.0,15735.0,15620.0,15699.87
15699.88,15810.41,15679.98,15810.41
15810.41,15985.0,15810.4,15982.99
15982.99,15983.0,15819.5,15842.4
15849.0,15948.12,15848.99,15919.04
15919.04,16195.0,15919.04,16190.99
16194.92,16194.92,16050.43,16115.89
16115.02,16115.02,15930.88,15956.86
15932.01,16049.04,15903.73,16019.99
16020.0,16200.0,16020.0,16151.09
16151.01,16199.0,16115.21,16158.49
16158.49,16180.05,16115.0,16115.01
16115.01,16184.39,16115.0,16170.13
16170.14,16184.39,16030.0,16109.99
16109.99,16251.93,16109.99,16251.93
16251.93,16270.0,16197.39,16244.98
16244.99,16398.81,16244.98,16310.01
16310.01,16474.0,16300.12,16473.99
16474.0,16491.0,16473.99,16490.57
16490.58,16490.58,16394.0,16485.0
16485.0,16623.42,16485.0,16621.0
16621.0,16697.58,16532.06,16679.99
16679.98,16796.17,16660.0,16796.17
16796.17,16979.98,16796.17,16970.0
16970.0,16980.0,16622.27,16877.29
16877.29,16877.29,16625.44,16710.0
16710.0,16763.71,16701.86,16735.09
16735.1,16929.0,16735.09,16922.52
16922.49,16982.29,16872.0,16982.0
16981.99,16988.0,16850.0,16945.01
16945.0,16978.09,16944.99,16978.09
16978.09,16979.0,16906.19,16924.92
16924.87,16924.88,16523.78,16742.5
16718.01,16848.25,16718.01,16774.99
16780.99,16799.91,16627.01,16637.99
16637.98,16797.5,16637.98,16797.37
16797.37,16888.0,16705.48,16769.99
16769.99,16810.4,16730.0,16752.13
16752.13,16790.0,16752.13,16757.05
16757.06,16757.06,16550.0,16580.0
16580.0,16711.62,16570.0,16680.0
16675.01,16679.95,16602.61,16621.02
16621.02,16648.0,16361.39,16420.11
16420.11,16550.0,16301.0,16301.01
16301.01,16548.1,16301.01,16538.04
16538.04,16679.95,16503.63,16679.95
16679.95,16690.0,16540.0,16550.01
16550.01,16585.0,16525.0,16574.79
16574.8,16689.55,16574.8,16617.29
16617.29,16730.0,16617.28,16699.63
16699.63,16730.0,16660.0,16660.01
16660.0,16670.45,16620.03,16668.0
16668.0,16670.0,16554.0,16566.01
16566.01,16617.81,16554.01,16600.0
16600.01,16650.0,16599.99,16650.0
16650.0,16690.0,16628.54,16689.99
16690.0,16690.0,16645.01,16658.12
16658.12,16670.0,16658.11,16670.0
16670.0,16670.0,16573.34,16574.0
16574.0,16664.0,16557.0,16649.0
16649.0,16670.0,16641.03,16670.0
16669.99,16700.0,16669.99,16680.02
16680.01,16712.68,16680.01,16712.68
16712.68,16789.0,16712.67,16789.0
16789.0,16888.0,16789.0,16879.99
16879.98,16879.99,16800.0,16828.91
16828.99,16843.52,16815.0,16839.99
16840.0,16847.5,16810.02,16835.0
16835.0,16919.0,16835.0,16918.99
16919.0,16950.0,16872.65,16930.0
16930.0,16948.0,16929.99,16948.0
16948.0,16948.0,16900.01,16911.06
16911.06,16911.06,16821.98,16825.99
16825.99,16872.0,16733.78,16828.74
16828.74,16888.0,16828.74,16832.01
16832.01,16850.0,16832.0,16834.01
16834.0,16840.01,16821.01,16840.0
16840.0,16865.0,16840.0,16859.29
16859.29,16875.0,16859.28,16874.99
16874.99,16911.06,16874.99,16911.05
16911.06,16911.06,16882.0,16885.0
16885.01,16885.01,16881.99,16882.0
16881.99,16882.0,16841.82,16849.99
16849.99,16890.0,16849.99,16890.0
16890.0,16940.0,16889.99,16940.0
16940.0,16940.0,16880.0,16892.0
16892.0,16899.99,16863.23,16863.24
16863.24,16863.24,16840.0,16840.01
16840.01,16900.0,16840.0,16889.78
16889.78,16889.78,16853.34,16860.08
16860.08,16862.46,16850.0,16862.46
16862.46,16889.02,16862.45,16889.02
16889.02,16925.0,16843.0,16890.0
16890.0,16890.01,16827.11,16827.11
16827.11,16827.12,16700.0,16775.92
16775.92,16785.0,16682.84,16713.0
16713.0,16750.0,16657.57,16699.98
16699.99,16788.0,16675.0,16787.04
16787.05,16787.05,16713.09,16740.0
16739.99,16740.0,16700.01,16730.0
16729.99,16729.99,16655.67,16655.67
16655.68,16655.68,16631.48,16632.05
16632.06,16850.0,16632.06,16758.54
16758.54,16795.0,16729.93,16773.75
16773.76,16773.76,16735.0,16735.0
16735.0,16785.0,16710.0,16751.01
16751.01,16787.0,16725.0,16760.84
16760.83,16809.99,16760.83,16809.99
16809.99,16809.99,16809.98,16809.99
16809.99,16875.0,16809.98,16860.69
16860.69,16888.0,16809.98,16809.99
16809.99,16809.99,16708.0,16756.94
16756.94,16756.94,16756.93,16756.93
16756.94,16833.42,16756.94,16833.41
16833.42,16848.0,16833.42,16847.99
