Date,O,H,L,C
1487217600,141.84,142.051,141.786,141.948
1487232000,141.948,142.353,141.867,142.17
1487246400,142.171,142.313,141.824,142.117
1487260800,142.121,142.23,141.299,141.376
1487275200,141.375,141.52,141.246,141.411
1487289600,141.408,141.942,141.304,141.879
1487304000,141.877,141.903,141.587,141.727
1487318400,141.727,141.774,140.071,140.217
1487332800,140.222,140.302,139.63,140.204
1487347200,140.201,140.455,140.017,140.403
1487361600,140.405,140.41,139.996,140.007
1487548800,140.042,140.428,140.016,140.268
1487563200,140.267,140.526,140.255,140.49
1487577600,140.491,141.257,140.491,140.974
1487592000,140.974,141.134,140.861,141.075
1487606400,141.077,141.14,140.881,140.929
1487620800,140.928,141.035,140.83,140.896
1487635200,140.885,141.474,140.75,141.368
1487649600,141.366,141.52,141.293,141.363
1487664000,141.362,141.463,140.856,141.382
1487678400,141.383,141.421,140.904,141.171
1487692800,141.171,141.751,141.105,141.473
1487707200,141.473,141.864,141.421,141.785
1487721600,141.696,142.035,141.678,141.834
1487736000,141.834,141.923,141.646,141.852
1487750400,141.854,142,140.737,140.756
1487764800,140.757,140.969,140.473,140.643
1487779200,140.644,141.506,140.571,141.113
1487793600,141.118,141.248,140.732,140.994
1487808000,141.004,141.261,140.699,140.727
1487822400,140.725,141.063,140.713,140.981
1487836800,140.977,141.341,140.682,141.218
1487851200,141.233,141.382,140.79,140.904
1487865600,140.917,141.546,140.89,141.4
1487880000,141.399,141.521,141.278,141.328
1487894400,141.325,141.674,141.302,141.558
1487908800,141.56,141.659,141.433,141.629
1487923200,141.627,141.771,140.849,141.025
1487937600,141.025,141.215,140.574,140.662
1487952000,140.654,140.71,139.72,139.865
1487966400,139.864,139.924,139.413,139.688
1488153600,139.842,139.965,139.009,139.172
1488168000,139.174,139.545,139.135,139.408
1488182400,139.407,139.625,139.077,139.504
1488196800,139.505,139.71,139.225,139.483
1488211200,139.483,139.89,139.266,139.882
1488225600,139.883,140.373,139.761,140.174
1488240000,140.193,140.322,139.766,139.928
1488254400,139.925,140.101,139.874,139.935
1488268800,139.936,140.018,139.421,139.571
1488283200,139.572,139.788,139.16,139.269
1488297600,139.271,139.556,138.827,138.984
1488312000,138.985,139.852,138.905,139.567
1488326400,139.599,140.26,139.557,140.006
1488340800,140.007,140.498,139.8,140.344
1488355200,140.344,140.735,140.314,140.465
1488369600,140.463,140.718,139.945,140.083
1488384000,140.083,140.334,139.9,140.007
1488398400,140.004,140.012,139.57,139.743
1488412800,139.739,140.133,139.739,140.026
1488427200,140.023,140.081,139.892,139.99
1488441600,139.989,140.485,139.983,140.053
1488456000,140.056,140.746,139.96,140.502
1488470400,140.504,140.61,140.288,140.423
1488484800,140.423,140.496,140.176,140.323
1488499200,140.305,140.435,140.061,140.078
1488513600,140.079,140.269,139.916,140.045
1488528000,140.045,140.182,139.672,139.71
1488542400,139.709,140.145,139.601,139.883
1488556800,139.882,140.498,139.863,140.267
1488571200,140.281,140.44,139.905,140.158
1488758400,139.95,140.321,139.745,139.887
1488772800,139.889,139.975,139.741,139.887
1488787200,139.889,139.928,139.277,139.37
1488801600,139.37,139.698,139.312,139.537
1488816000,139.533,139.637,139.29,139.464
1488830400,139.468,139.566,139.258,139.317
