O,H,L,C
14467.04,14487.8,14467.04,14483.7
14483.7,14483.71,14300.0,14397.56
14397.56,14419.0,14391.0,14419.0
14418.99,14470.0,14418.88,14425.0
14425.01,14435.0,14420.0,14430.0
14430.0,14430.0,14340.0,14400.59
14400.59,14420.0,14400.58,14415.02
14415.02,14420.0,14415.02,14420.0
14420.0,14477.5,14419.99,14477.5
14477.5,14480.0,14477.49,14479.99
14480.0,14483.89,14475.0,14477.99
14475.01,14475.01,14427.77,14464.98
14464.97,14475.0,14460.01,14475.0
14475.0,14479.92,14475.0,14479.92
14479.92,14479.92,14479.91,14479.91
14479.92,14485.0,14479.91,14484.99
14484.99,14487.8,14484.98,14487.8
14487.8,14533.0,14487.8,14533.0
14533.0,14587.0,14532.99,14587.0
14587.0,14588.0,14586.99,14588.0
14588.0,14660.0,14587.99,14660.0
14660.0,14748.99,14660.0,14748.99
14748.99,14749.99,14655.0,14749.0
14749.0,14750.0,14748.99,14750.0
14750.0,14877.0,14749.99,14877.0
14877.0,14900.0,14730.31,14836.56
14836.57,14865.0,14695.17,14845.0
14845.0,14874.0,14833.16,14844.99
14844.99,14844.99,14747.0,14842.39
14842.4,14849.82,14802.82,14815.27
14815.27,14839.72,14805.0,14809.95
14809.95,14809.95,14802.81,14805.02
14805.02,14881.25,14805.01,14870.01
14870.1,14881.0,14859.0,14880.0
14880.0,14944.0,14879.99,14943.59
14944.0,14977.0,14852.94,14964.76
14964.75,14980.0,14950.01,14979.99
14979.99,14980.0,14979.87,14980.0
14980.0,14980.0,14970.0,14975.02
14975.02,14983.0,14975.01,14983.0
14983.0,14995.0,14983.0,14994.99
14995.0,15000.0,14994.99,15000.0
15000.0,15180.0,14999.99,15124.99
15138.62,15149.99,15097.64,15110.01
15110.01,15195.99,15110.0,15195.99
15195.99,15245.0,15195.98,15241.99
15242.0,15243.0,15020.0,15068.02
15068.03,15229.98,15068.02,15174.99
15175.0,15205.0,15150.0,15199.0
15199.0,15248.99,15199.0,15248.99
15248.99,15369.0,15248.99,15369.0
15369.0,15500.0,15368.99,15500.0
15500.0,15600.0,15499.99,15600.0
15600.0,15699.0,15159.99,15560.97
15560.98,15590.0,15250.0,15289.62
15269.76,15429.98,14900.0,15250.88
15250.89,15250.89,15111.57,15250.0
15250.0,15494.99,15249.99,15448.99
15449.0,15685.0,15448.0,15594.99
15595.0,15799.01,15595.0,15798.58
15798.58,15898.0,15200.0,15624.99
15624.99,15625.0,15204.01,15294.99
15294.98,15497.0,15200.0,15339.41
15339.42,15340.0,14920.02,14930.0
14933.94,15191.99,14580.0,14947.98
14947.98,15274.99,14805.0,15150.05
15150.02,15200.0,15015.0,15198.99
15199.0,15420.0,15155.06,15299.0
15298.53,15334.83,15223.07,15255.07
15255.02,15258.07,15000.0,15197.66
15197.56,15241.0,15152.95,15241.0
15241.0,15418.38,15161.89,15418.38
15418.38,15431.23,15270.45,15378.0
15393.02,15450.0,15393.01,15449.65
15449.65,15449.66,15246.77,15248.01
15248.01,15405.0,15248.0,15390.59
15357.43,15390.38,15300.0,15367.73
15367.72,15383.03,15249.99,15250.03
15251.0,15388.0,15229.02,15375.01
15375.01,15459.12,15375.0,15442.02
15442.02,15649.07,15442.02,15639.99
15639.98,15694.0,15550.0,15675.1
15675.14,15696.0,15588.97,15630.23
15630.23,15649.99,15510.0,15577.99
15577.99,15578.0,15554.98,15560.0
15560.0,15560.0,15500.01,15501.01
15501.01,15655.0,15501.0,15650.8
15650.87,15750.0,15650.0,15750.0
15750.0,15750.0,15674.0,15732.59
15732.56,15825.45,15732.52,15825.45
15825.45,15989.02,15825.45,15989.02
15989.02,16173.0,15720.0,15964.65
15964.65,16000.0,15801.0,15999.99
16000.0,16000.0,15950.0,15965.0
15969.99,15970.0,15950.0,15950.99
15951.0,15960.0,15950.0,15960.0
15959.99,15965.0,15914.5,15950.0
15950.0,15970.0,15949.99,15969.02
15969.02,15969.02,15850.0,15899.02
15898.91,15956.01,15850.0,15899.99
15899.99,16150.0,15899.98,16140.0
16140.02,16289.64,16140.01,16270.19
16269.96,16449.0,16265.16,16420.06
16420.06,16500.0,16234.05,16449.84
16446.01,16750.0,16400.0,16683.97
16659.98,16945.0,16450.0,16900.0
16900.0,16977.0,16750.0,16933.49
16933.49,16939.0,16800.0,16877.02
16877.02,16899.0,16150.0,16300.0
16200.01,16800.0,16200.0,16748.98
16730.0,16878.05,16730.0,16872.92
16876.92,16880.0,16628.25,16859.98
16859.99,16949.98,16855.02,16949.0
16949.0,16950.0,16900.0,16950.0
16950.0,16999.0,16949.99,16998.99
16999.0,17650.0,16998.99,17560.0
17560.0,17640.0,17250.0,17639.95
17639.95,18775.0,17639.94,18700.0
18700.0,19697.0,18028.41,18200.99
18200.99,18300.0,16672.07,16672.07
16999.0,18000.0,16505.01,17890.0
17545.87,18000.0,17500.0,17580.0
17580.0,17599.99,16555.7,16938.0
16937.99,16945.0,15101.0,15197.26
15197.26,16397.97,15197.26,16299.99
16260.01,16260.01,15100.0,16100.0
16249.96,16999.96,15600.0,16466.9
16305.58,16500.0,15555.0,15899.96
15899.96,16499.0,15791.92,16325.01
16349.99,16890.0,16330.0,16890.0
16888.99,17294.99,16350.01,16990.0
16982.93,17000.0,16390.0,16774.97
16766.27,16850.0,16640.0,16834.99
16834.99,17199.0,16834.95,17149.96
17140.0,17400.0,16922.0,17259.0
17299.95,17300.0,17201.01,17300.0
17300.0,17749.96,17299.99,17745.0
17745.0,17869.99,16660.0,17222.65
17222.65,17410.0,17001.0,17001.0
17101.0,17299.99,16900.0,17000.0
17000.0,17100.0,16888.0,16900.0
16944.97,17200.0,16805.0,17160.01
17160.0,17160.01,17010.08,17046.66
17046.66,17099.0,16900.0,16900.01
